Lattitude        Longitude       
4002351.8356     -68159.6047     
4001770.5669     -59130.2159     
4001198.7047     -50101.3519     
4000636.244      -41073.0043     
4000083.1796     -32045.1649     
3999539.5065     -23017.8254     
3999005.2199     -13990.9775     
3998480.3149     -4964.6129      
3997964.7868     4061.2768       
3997458.6309     13086.6997      
3996961.8428     22111.6644      
3996474.4178     31136.179       
3995996.3516     40160.252       
3995527.6399     49183.8917      
3995068.2786     58207.1065      
3994618.2633     67229.9048      
3994177.5901     76252.2948      
3993746.255      85274.2851      
3993324.2542     94295.884       
3992911.5837     103317.1        
3992508.24       112337.9413     
3992114.2193     121358.4165     
3991729.5181     130378.5339     
3991354.133      139398.302      
3990988.0605     148417.7293     
3990631.2975     157436.8241     
3990283.8406     166455.5949     
3989945.6867     175474.0502     
3989616.8328     184492.1984     
3989297.2759     193510.0481     
3988987.0132     202527.6075     
3988686.0418     211544.8854     
3988394.3591     220561.89       
3988111.9623     229578.63       
3987838.8491     238595.1138     
3987575.0169     247611.3498     
3987320.4633     256627.3467     
3987075.1861     265643.1128     
3986839.183      274658.6568     
3986612.4519     283673.9871     
3986394.9908     292689.1122     
3986186.7977     301704.0407     
3985987.8708     310718.7811     
3985798.2083     319733.3419     
3985617.8083     328747.7316     
3985446.6695     337761.9588     
3985284.7901     346776.032      
3985132.1687     355789.9598     
3984988.804      364803.7507     
3984854.6946     373817.4132     
3984729.8395     382830.9559     
3984614.2373     391844.3873     
3984507.8872     400857.716      
3984410.7881     409870.9506     
3984322.9391     418884.0995     
3984244.3396     427897.1714     
3984174.9887     436910.1749     
3984114.8859     445923.1183     
3984064.0305     454936.0104     
3984022.4222     463948.8597     
3983990.0606     472961.6748     
3983966.9454     481974.4641     
3983953.0763     490987.2363     
3983948.4533     500000.0        
3983953.0763     509012.7637     
3983966.9454     518025.5359     
3983990.0606     527038.3252     
3984022.4222     536051.1403     
3984064.0305     545063.9896     
3984114.8859     554076.8817     
3984174.9887     563089.8251     
3984244.3396     572102.8286     
3984322.9391     581115.9005     
3984410.7881     590129.0494     
3984507.8872     599142.284      
3984614.2373     608155.6127     
3984729.8395     617169.0441     
3984854.6946     626182.5868     
3984988.804      635196.2493     
3985132.1687     644210.0402     
3985284.7901     653223.968      
3985446.6695     662238.0412     
3985617.8083     671252.2684     
3985798.2083     680266.6581     
3985987.8708     689281.2189     
3986186.7977     698295.9593     
3986394.9908     707310.8878     
3986612.4519     716326.0129     
3986839.183      725341.3432     
3987075.1861     734356.8872     
3987320.4633     743372.6533     
3987575.0169     752388.6502     
3987838.8491     761404.8862     
3988111.9623     770421.37       
3988394.3591     779438.11       
3988686.0418     788455.1146     
3988987.0132     797472.3925     
3989297.2759     806489.9519     
3989616.8328     815507.8016     
3989945.6867     824525.9498     
3990283.8406     833544.4051     
3990631.2975     842563.1759     
3990988.0605     851582.2707     
3991354.133      860601.698      
3991729.5181     869621.4661     
3992114.2193     878641.5835     
3992508.24       887662.0587     
3992911.5837     896682.9        
3993324.2542     905704.116      
