Station              Alpha                Kappa                Threshold            Latitude             Longitude           
Madrid               6.709147030992621    -0.001834868296997083 8.108794             40.4                 -3.7                
Barcelona            9.878898349997877    -0.13866078804495374 8.954971             41.4                 2.2                 
Valencia             8.430133647401899    -0.33039518605317286 6.2886076            39.5                 -0.4                
Sevilla              11.310917236484547   -0.15665863438429506 12.1358795           37.4                 -6.0                
Zaragoza             5.979861938462832    -0.19601132641350527 5.701002             41.6                 -0.9                
Malaga               11.445221403125483   -0.10627031677906662 9.861911             36.7                 -4.4                
Murcia               6.811922787259167    -0.2438304887209326  3.9123726            38.0                 -1.1                
Palma                12.129073643821963   -0.19254401079147376 12.621731            39.6                 2.6                 
Bilbao               10.35019497166735    -0.06852073332049113 18.959003            43.2                 -2.9                
Valladolid           5.429175378852544    -0.07094462146655767 7.2649984            41.6                 -4.7                
Alacant              6.0445713984562275   -0.3218408817975362  4.289129             38.4                 -0.5                
Cordoba              9.457347927212028    -0.06725389599607356 11.78976             37.9                 -4.8                
Vigo                 12.769865940700898   -0.019883164530613007 22.857927            42.2                 -8.7                
Gijon                9.019852853454703    -0.061955894431354075 15.195884            43.5                 -5.7                
L'hospitaletdellobregat 9.621548136303163    -0.18094039204882795 10.393636            41.4                 2.1                 
Granada              5.577608688160334    -0.08674421329348303 7.1558075            37.2                 -3.6                
Acoruna             7.542782963367106    -0.055587423329725105 15.306611            43.3                 -8.4                
Vitoria              7.668366519536749    -0.06336343339843187 12.592665            42.9                 -2.7                
Fuenlabrada          6.295650286454556    -0.022107646174233553 7.5259               40.3                 -3.8                
Badalona             9.85253131019841     -0.15239061196333314 9.577191             41.5                 2.2                 
Elx                  5.761541718009593    -0.29569649475847504 4.2982006            38.3                 -0.7                
Oviedo               8.94897411011527     -0.03276233826138086 15.145307            43.4                 -5.8                
Mostoles             6.067181484516714    -0.02790356854327425 7.3032713            40.3                 -3.9                
Alcaladehenares    5.3991595944557      -0.09046424178646562 7.327398             40.5                 -3.4                
Cartagena            7.590360603040564    -0.2893127920709899  3.9230576            37.6                 -1.0                
Pamplona             11.764196392932062   -0.0514224960632812  18.498055            42.8                 -1.6                
Sabadell             9.91319757725393     -0.13587800287464957 10.582025            41.5                 2.1                 
Jerez                11.42539424804309    -0.01466927407645735 10.852396            36.7                 -6.1                
Terrassa             9.901084735061165    -0.1798123491740664  10.792641            41.6                 2.0                 
Donostia             10.381815486708625   -0.13605791530051392 22.22852             43.3                 -2.0                
Santander            0                    0                    0.0                  43.5                 -3.8                
Alcorcon             6.971702759983014    0.01088262734565193  8.18315              40.4                 -3.8                
Burgos               5.889196154600216    -0.0743975027135142  9.615728             42.4                 -3.7                
Getafe               6.310741236624572    -0.03235644869271126 7.4507737            40.3                 -3.7                
Almeria              7.727999460846191    -0.27746117146839855 4.1634126            36.8                 -2.4                
Castello             9.172491218616262    -0.28114628527508856 6.865616             40.0                 -0.1                
Salamanca            5.471020957481998    -0.08331299720812213 7.729565             41.0                 -5.7                
Albacete             5.824934289057718    -0.18587122292545954 6.1919727            39.0                 -1.9                
Huelva               10.334531747347414   -0.11547739733277185 9.671678             37.2                 -6.9                
Logrono              8.117002310762429    -0.23658805044618014 10.36533             42.5                 -2.4                
Badajoz              7.808513484983045    -0.04835524621232001 9.870455             38.9                 -7.0                
Cadiz                9.714584742058848    -0.12337395424187014 10.3028555           36.5                 -6.3                
Leon                 6.272499329593228    -0.06805688507887386 9.055221             42.6                 -5.6                
Jaen                 7.2264982971499645   -0.12402055908777387 9.473217             37.8                 -3.8                
Tarragona            10.175275732010036   -0.19215120004073927 8.997189             41.1                 1.2                 
Lleida               6.24031005927807     -0.17159593236462256 5.666031             41.6                 0.6                 
Doshermanas         11.170477804540145   -0.13671935057012718 12.070903            37.3                 -5.9                
Mataro               10.01594156664431    -0.22684258631250898 10.521903            41.5                 2.4                 
Torrejondeardoz    5.825840568370079    -0.03895400517114722 7.48895              40.5                 -3.5                
Marbella             14.982152861212068   -0.08285433727405866 12.898956            36.5                 -4.9                
Ourense              9.958073554017218    0.043458179581973955 15.982609            42.3                 -7.9                
Algeciras            12.74873151895205    -0.043438676641725626 14.27548             36.1                 -5.5                
Alcobendas           6.440840076304729    0.00013029372563932995 8.101103             40.5                 -3.6                
Reus                 10.076045578544715   -0.14820887463711752 8.5899515            41.2                 1.1                 
Santiagodecompostela 11.843514234793307   -0.07105727858243549 23.563284            42.9                 -8.5                
Parla                6.053628732296161    -0.03663041487546681 7.0701203            40.2                 -3.8                
Barakaldo            11.172037522692108   -0.04890012205417049 20.480598            43.3                 -3.0                
Lorca                5.499310923602992    -0.2802378944296604  4.031744             37.7                 -1.7                
Sanfernando         9.90110401977435     -0.10437044101431803 10.984128            36.5                 -6.2                
Lugo                 9.43069250226644     0.029804933030871616 16.37429             43.0                 -7.6                
Caceres              8.910424908637884    -0.04297821384666545 10.477248            39.5                 -6.4                
Aviles               8.396019406478588    -0.12801904751455484 15.0222845           43.6                 -5.9                
Coslada              5.994213887811839    -0.04228766150855767 7.5385656            40.4                 -3.6                
Girona               11.021250621236023   -0.195706668030172   13.074514            42.0                 2.8                 
Getxo                12.65174319418476    -0.023304411620746812 21.366726            43.4                 -3.0                
Talaveradelareina 8.169592298450228    -0.05098464621415588 10.877359            40.0                 -4.8                
Santboidellobregat 9.530854868008793    -0.19178050234591293 10.93786             41.4                 2.0                 
Elpuertodesantamaria 10.386397469997936   -0.023433104223936185 10.446447            36.6                 -6.2                
Palencia             5.320842600029867    -0.10589810813577127 7.272277             42.0                 -4.5                
Guadalajara          6.016724714503836    -0.068527290206152   8.711795             40.6                 -3.2                
Pontevedra           12.805221814654272   -0.06161415018154992 24.64364             42.4                 -8.7                
Ferrol               5.774162430335706    -0.11572212923868475 11.663286            43.5                 -8.2                
Lasrozasdemadrid  6.860109643827945    -0.024157342022315786 8.387525             40.5                 -3.9                
Toledo               5.968780332700891    -0.1514198142452612  7.403635             39.9                 -4.0                
Ciudadreal          5.6310505582267405   -0.12202679667229344 7.0514307            39.0                 -3.9                
Torrent              10.453870295973157   -0.2716480395600882  6.7857194            39.4                 -0.5                
Rubi                 10.657110967383156   -0.1568412015508136  11.071336            41.5                 2.0                 
Elejido             9.418421400996978    -0.23201600557420954 6.2120686            36.8                 -2.8                
Manresa              9.34265264718144     -0.13099589217585406 10.07997             41.7                 1.8                 
Chiclana             10.72593202029485    -0.05913015198338667 11.123985            36.4                 -6.2                
Zamora               5.2267026292420935   -0.09167710161290699 6.870277             41.5                 -5.8                
Velez-malaga         13.278235107084164   -0.10572364389957234 11.497799            36.8                 -4.1                
Gandia               17.163303541077028   -0.2898896386981784  11.785308            39.0                 -0.2                
Elpratdellobregat 10.733291811365714   -0.2059026552534471  9.956137             41.3                 2.1                 
Ponferrada           6.639605834874771    -0.09850324875484118 10.200202            42.5                 -6.6                
Viladecans           9.72022505431982     -0.20987687117927778 10.322344            41.3                 2.0                 
Vilanovailageltru 11.038981987669489   -0.1552541817196018  9.334968             41.2                 1.7                 
Lalinea             14.265157749198663   -0.04366224306848765 16.410423            36.2                 -5.4                
Orihuela             6.490811818929107    -0.28958544829362065 3.8724883            38.1                 -0.9                
Sanlucardebarrameda 9.434606146308356    -0.10545722577559125 9.808207             36.8                 -6.4                
Alcaladeguadaira   11.47982974198238    -0.11429352492379263 12.539235            37.3                 -5.8                
Roquetasdemar      8.659198155693192    -0.22626489707312847 5.4348054            36.8                 -2.6                
Alcoi                10.862753221821222   -0.3021439840954987  8.921944             38.7                 -0.5                
Irun                 11.369426071652944   -0.1660479791577123  23.695446            43.4                 -1.8                
Linares              6.425373842181843    -0.12250568155003871 8.636639             38.1                 -3.6                
Sagunt               9.909862608078061    -0.3134911266281388  7.496188             39.7                 -0.3                
Granollers           10.414874748627904   -0.13200696407928292 10.508638            41.6                 2.3                 
Segovia              4.889166433288588    -0.07551754885273554 8.865726             40.9                 -4.1                
Benidorm             0                    0                    0.0                  38.5                 -0.1                
Torrelavega          11.411136647479282   -0.040271400943052926 19.173908            43.4                 -4.1                
Colladovillalba     7.493080778284082    -0.07479818457159393 9.371111             40.6                 -4.0                
Fuengirola           8.835904575347682    -0.13039127702869213 9.342617             36.5                 -4.6                
Torrevieja           5.304375357037497    -0.38732796172717676 3.3102572            38.0                 -0.7                
Motril               9.903333128378176    -0.17027195730686273 8.720419             36.8                 -3.5                
Mijas                11.87832042701454    -0.17734502680868203 9.473245             36.6                 -4.6                
Elda                 8.478191625416095    -0.1905318365132851  6.818298             38.5                 -0.8                
Avila                5.556874740306246    -0.11604840191450094 7.2476993            40.7                 -4.7                
Molinadesegura     6.551589201917535    -0.23840509643773555 4.3107615            38.1                 -1.2                
Torremolinos         12.550236573928766   -0.1287085869071516  9.539442             36.6                 -4.5                
Merida               7.265123392017551    -0.019530012514090922 8.573658             38.9                 -6.3                
Siero                9.606953262929338    -0.03471103085990368 15.628495            43.4                 -5.7                
Cuenca               7.696633316887311    -0.033801680590913374 11.726422            40.1                 -2.1                
Huesca               7.489608451094214    -0.05215744738765138 9.420839             42.1                 -0.4                
Estepona             16.73922529412507    -0.10899459981930759 18.617702            36.4                 -5.2                
Puertollano          5.772881373988581    -0.09692317403937545 7.594346             38.7                 -4.1                
Vila-real            10.24532079830052    -0.2618619567085063  7.2813587            39.9                 -0.1                
Mieres               9.592362083212475    -0.05670466310925337 15.45447             43.2                 -5.8                
Aranjuez             5.320188829442478    -0.12049136024368812 6.6750937            40.0                 -3.6                
Utrera               11.712573802416046   -0.09878035401987662 12.518288            37.2                 -5.8                
Langreo              9.821445630478049    -0.03493741994803656 15.849095            43.3                 -5.7                
Sanfernandodehenares 5.717132509773126    -0.06136608095438878 7.382396             40.4                 -3.5                
Trescantos          7.985203117530798    0.0002448352244557306 9.994707             40.6                 -3.7                
Antequera            8.569277804805479    -0.015029548620483446 8.765355             37.0                 -4.6                
Rivas-vaciamadrid    5.495536099166854    -0.04081942036344466 6.9394994            40.3                 -3.5                
Colmenarviejo       9.023473674147121    -0.04969088215069073 12.168596            40.7                 -3.8                
Mairenadelaljarafe 10.204909788489376   -0.1743364284103215  11.354395            37.3                 -6.1                
Calvia               10.159314368467394   -0.1632831965802255  10.02772             39.6                 2.5                 
Eivissa              8.402260891575136    -0.2337490329595595  6.644987             38.9                 1.4                 
Denia                0                    0                    0.0                  38.9                 0.1                 
Alzira               12.09673779457203    -0.26076067634304634 8.45853              39.2                 -0.4                
Argandadelrey      5.342906718182251    -0.05782402255475794 7.1697717            40.3                 -3.4                
Valdemoro            5.9096834802463      -0.009752611609008754 6.8630934            40.2                 -3.7                
Lucena               6.729512581734155    -0.10511109953107622 9.984471             37.4                 -4.5                
Plasencia            10.644104829180561   0.0008561387892962458 19.012403            43.2                 -2.4                
Soria                5.906086887673044    -0.11577822695288753 8.811857             41.8                 -2.5                
Alcantarilla         6.955985390439795    -0.23077794940543517 4.014871             38.0                 -1.2                
Errenteria           10.927680792488395   -0.10815294064422076 22.804663            43.3                 -1.9                
Mirandadeebro      5.850446211944517    -0.19245695776606175 8.311392             42.7                 -3.0                
Ronda                17.793388987882604   0.027593111132943715 17.676344            36.7                 -5.2                
